Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,onTimeIN,onTimeOUT,Net Salary,Type_Full Day,Type_Half Day,apply_type_Anual,apply_type_Casual
879,70129,Dean Strosin,Mr.,Male,1,Married,29,2019-09-02,2021-03-21 00:00:00,Inactive,2021-03-21 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Cook,1979,14.0,13.0,0.0,,,,
880,75031,Constance McClure,Mr.,Male,1,Married,135,2019-10-06,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Wacher,1963,0.0,0.0,30286.875,,,,
882,75032,Miss Judy Carroll III,Mr.,Male,1,Married,135,2019-10-08,2022-04-22 00:00:00,Inactive,2022-04-22 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Wacher,1960,9.0,0.0,51996.36363636364,,,,
886,75246,Mr Gaston Wintheiser,Mr.,Male,1,Married,31,2019-12-13,2020-12-20 00:00:00,Inactive,2020-12-20 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971,4.0,4.0,25090.0,,,,
889,4997,Danika Collier,Mr.,Male,1,Married,31,2020-06-01,2021-06-01 00:00:00,Inactive,2021-06-01 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1977,,,,,,,
890,5226,Mr Schuyler Fritsch Jr,Mr.,Male,1,Married,31,2021-03-01,2022-03-14 00:00:00,Inactive,2022-03-14 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999,128.0,126.0,37088.4,,,,
891,5029,Alyce Littel,Mr.,Male,1,Married,31,2020-01-23,2022-03-14 00:00:00,Inactive,2022-03-14 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1980,203.0,199.0,54728.66666666666,,,,
892,197004,Mr Christ Schinner,Mr.,Male,1,Married,31,2020-01-28,2020-03-15 00:00:00,Inactive,2020-03-15 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976,,,,,,,
894,5030,Dr Destany Rempel,Mr.,Male,1,Married,31,2020-01-28,2020-12-31 00:00:00,Inactive,2020-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1963,,,49554.2,,,,
895,5031,Eric Luettgen,Mr.,Male,1,Married,31,2020-01-28,2021-10-31 00:00:00,Inactive,2021-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1986,91.0,90.0,42071.857142857145,,,,
896,5032,Jed Hermann MD,Mr.,Male,1,Married,31,2020-01-28,2022-03-14 00:00:00,Inactive,2022-03-14 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1980,157.0,153.0,46799.61666666667,,,,
897,5033,Sonia Stoltenberg I,Mr.,Male,1,Married,31,2020-01-28,2021-01-28 00:00:00,Inactive,2021-01-28 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1982,,,34097.9,,,,
898,5034,Dean Kohler,Mr.,Male,1,Married,31,2020-01-28,2021-01-29 00:00:00,Inactive,2021-01-29 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968,,,35575.2,,,,
899,5035,Alysa Schimmel,Mr.,Male,1,Married,31,2020-01-28,2020-12-31 00:00:00,Inactive,2020-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971,,,,,,,
900,5036,Gussie Beahan MD,Mr.,Male,1,Married,31,2020-01-28,2022-03-30 00:00:00,Inactive,2022-03-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1983,183.0,175.0,51366.06666666667,,,,
901,197013,Mrs Heloise Kovacek,Mr.,Male,1,Married,31,2020-01-28,2020-03-15 00:00:00,Inactive,2020-03-15 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1986,,,,,,,
