Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,onTimeIN,onTimeOUT,Net Salary,Type_Full Day,Type_Half Day,apply_type_Anual,apply_type_Casual
1015,75152,Rebekah Yost,Mr.,Male,1,Married,31,2019-11-22,2020-06-30 00:00:00,Inactive,2020-06-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,,,,,,,
1016,5206,Prof Dorothea Lubowitz,Mr.,Male,1,Married,31,2021-02-01,2021-02-13 00:00:00,Inactive,2021-02-13 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,,,47177.5,,,,
1017,75154,Kailey Schumm,Mr.,Male,1,Married,31,2019-11-22,2019-12-31 00:00:00,Inactive,2019-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,,,2860.0,,,,
1018,75155,Bessie Lueilwitz,Mr.,Male,1,Married,31,2019-11-22,2020-06-10 00:00:00,Inactive,2020-06-10 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,,,,,,,
1019,75156,Prof Hertha Bernier I,Mr.,Male,1,Married,31,2019-11-22,2020-06-30 00:00:00,Inactive,2020-06-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,,,,,,,
1020,75159,Mr Johann Hirthe V,Mr.,Male,1,Married,31,2019-11-11,2019-12-31 00:00:00,Inactive,2019-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1957,,,17160.0,,,,
1033,75280,Mrs Verona Spencer DDS,Mr.,Male,1,Single,31,2019-12-07,2020-06-17 00:00:00,Inactive,2020-06-17 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001,,,,,,,
1037,75287,Gudrun Schumm Sr,Mr.,Male,1,Married,31,2019-12-02,2020-12-31 00:00:00,Inactive,2020-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1972,,,,,,,
1045,189014,Bria Wiza,Mr.,Male,1,Married,31,2020-03-07,2020-03-17 00:00:00,Inactive,2020-03-17 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1968,,,,,,,
1046,199016,Effie Feil V,Mr.,Male,3,Single,30,2020-02-28,2020-06-03 00:00:00,Inactive,2020-06-03 00:00:00,\N,\N,Labour,Contarct Basis,Hindu,Semi Skilled Labor,1994,,,,,,,
1047,5096,Israel Hettinger,Mr.,Male,1,Married,31,2020-03-05,2020-12-20 00:00:00,Inactive,2020-12-20 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1960,,,14688.0,,,,
1050,189017,Mr Brando Sauer PhD,Mr.,Male,1,Married,31,2020-03-12,2020-09-29 00:00:00,Inactive,2020-09-29 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1982,,,,,,,
1051,3903,Davin Mueller IV,Mr.,Male,1,Married,1,2019-01-01,2019-12-31 00:00:00,Inactive,2019-12-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1976,,,,,,,
1052,189018,Robert Swift,Mr.,Male,1,Single,31,2020-03-12,2020-03-17 00:00:00,Inactive,2020-03-17 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2000,,,,,,,
1054,199021,Dr Travon Gutmann V,Mr.,Male,3,Single,122,2020-03-20,2021-10-26 00:00:00,Inactive,2021-10-26 00:00:00,\N,\N,Labour,Contarct Basis,Hindu,Security,1992,30.0,40.0,46957.74285714286,,,,
1055,199022,Nayeli Stehr,Mr.,Male,3,Single,122,2020-03-20,2020-04-30 00:00:00,Inactive,2020-04-30 00:00:00,\N,\N,Labour,Contarct Basis,Hindu,Security,2000,,,,,,,
1056,181002,Dan Heathcote,Mr.,Male,1,Married,31,2020-02-23,2020-06-23 00:00:00,Inactive,2020-06-23 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1964,,,,,,,
1057,181001,Pierce Kling,Mr.,Male,1,Married,31,2020-02-16,2020-03-15 00:00:00,Inactive,2020-03-15 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976,,,,,,,
1058,181003,Pasquale Block,Mr.,Male,1,Married,31,2020-02-25,2020-03-16 00:00:00,Inactive,2020-03-16 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1973,,,,,,,
1060,189040,Alene Rath,Mr.,Male,1,Married,31,2020-12-07,2021-06-21 00:00:00,Inactive,2021-06-21 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,85.0,85.0,66639.95999999999,,,,
1061,5095,Dr Ashley Doyle,Mr.,Male,1,Single,31,2020-03-16,2021-01-06 00:00:00,Inactive,2021-01-06 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1998,,,35793.5,,,,
1063,75286,Dejah Cormier,Mr.,Male,1,Married,1,2019-12-02,2020-09-29 00:00:00,Inactive,2020-09-29 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1979,,,,,,,
1064,5025,Rosalia Braun,Mr.,Male,1,Married,31,2020-01-23,2021-02-27 00:00:00,Inactive,2021-02-27 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969,,,71607.0,,,,
1065,4949,Shawn Goldner IV,Mr.,Male,1,Single,80,2020-02-19,2020-03-21 00:00:00,Inactive,2020-03-21 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Driver - cab,1998,,,,,,,
1066,50020,Alfreda Stiedemann Jr,Ms.,Female,1,Single,125,2020-02-13,2020-12-19 00:00:00,Inactive,2020-12-19 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Data Colector,1993,,,,,,,
1068,4840,Sheldon Boehm,Mr.,Male,1,Single,27,2019-08-01,2020-09-30 00:00:00,Inactive,2020-09-30 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,1993,,,,,,,
1069,4256,Brando Zboncak,Mr.,Male,1,Single,35,2018-08-04,2020-09-26 00:00:00,Inactive,2020-09-26 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Operator-Excavator,1993,,,,,,,
1070,193091,Dameon Kshlerin I,Mr.,Male,1,Married,31,2020-07-28,2020-09-10 00:00:00,Inactive,2020-09-10 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1987,,,,,,,
1071,2358,Mr Dewitt Mraz DDS,Mr.,Male,1,Married,55,2015-07-02,2022-09-30 00:00:00,Inactive,2022-09-30 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Fitter,1955,424.0,423.0,110876.85785714284,,,,
1072,5185,Zena Bauch,Mr.,Male,1,Married,55,2021-02-01,2022-06-09 00:00:00,Inactive,2022-06-09 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1983,200.0,271.0,60750.66666666666,,,,
1073,2957,Arden Upton Jr,Mr.,Male,1,Married,27,2017-03-01,\N,Active,\N,1333,\N,Staff,Contarct Basis,Buddhist,Supervisor,1968,409.0,468.0,114692.9,,,,
1074,75290,Prof Devan Bogisich V,Mr.,Male,1,Married,31,2019-12-02,2020-06-10 00:00:00,Inactive,2020-06-10 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,,,,,,,
1076,194005,Ms Adell Watsica,Mr.,Male,3,Married,31,2020-02-19,2020-03-17 00:00:00,Inactive,2020-03-17 00:00:00,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1983,,,,,,,
1077,4895,Marianne Dickens,Mr.,Male,1,Married,116,2019-10-16,2020-06-30 00:00:00,Inactive,2020-06-30 00:00:00,\N,\N,Management,Contarct Basis,Buddhist,Assistant General Manager,1976,,,,,,,
1078,50001,Bart Weber,Mr.,Male,1,Married,97,2019-03-01,2020-09-29 00:00:00,Inactive,2020-09-29 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Foreman,1991,31.0,33.0,,,,,
1080,4856,Mrs Matilda Lehner DVM,Mr.,Male,1,Married,107,2019-08-19,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Social Environment Officer,1961,395.0,438.0,120572.685,,,,
1081,4761,Elza Bailey,Mr.,Male,1,Married,68,2019-05-17,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Assistant Store Keeper,1957,531.0,544.0,91177.97294117649,,,,
1082,5062,Sally Hegmann,Mr.,Male,1,Single,55,2020-02-29,2020-10-31 00:00:00,Inactive,2020-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,1999,,,92909.9,,,,
1083,4946,Sherman Hahn,Mr.,Male,3,Single,108,2020-02-07,2020-06-20 00:00:00,Inactive,2020-06-20 00:00:00,\N,\N,Staff,Contarct Basis,Hindu,QAQC Engineer,1984,,,,,,,
1084,5063,Mr Antonio Parisian,Mr.,Male,1,Single,31,2020-02-29,2020-10-31 00:00:00,Inactive,2020-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2001,,,,,,,
1085,190018,Chadd Gorczany Sr,Mr.,Male,1,Married,31,2020-12-08,2021-05-31 00:00:00,Inactive,2021-05-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1978,40.0,41.0,50298.9,,,,
1086,4957,Prof Peyton Waelchi DVM,Mr.,Male,1,Married,22,2020-03-03,2021-11-30 00:00:00,Inactive,2021-11-30 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1981,234.0,223.0,152018.75,,,,
1089,75176,Flavio Monahan,Mr.,Male,1,Married,31,2019-11-11,2022-08-05 00:00:00,Inactive,2022-08-05 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,315.0,360.0,75415.52,,,,
1090,5026,Edmund McClure,Mr.,Male,1,Single,129,2020-02-01,2020-10-31 00:00:00,Inactive,2020-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Stores Helper,1995,,,,,,,
1092,4962,Jaeden Mohr,Mr.,Male,1,Married,104,2020-06-01,2020-06-10 00:00:00,Inactive,2020-06-10 00:00:00,\N,\N,Management,Contarct Basis,Buddhist,Accountant,1980,,,,,,,
1093,5149,Dr Fabiola Ward Jr,Mr.,Male,1,Married,31,2019-09-09,2022-02-28 00:00:00,Inactive,2022-02-28 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,171.0,170.0,58023.02,,,,
1094,5146,Candida Wisozk,Mr.,Male,1,Married,31,2019-09-18,2022-03-14 00:00:00,Inactive,2022-03-14 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993,165.0,162.0,48348.09090909091,,,,
1097,5075,Karl Rau,Mr.,Male,1,Married,134,2020-02-02,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Caretaker,1964,540.0,537.0,62058.13333333334,,,,
1098,3365,Nichole Murray,Mr.,Male,3,Married,71,2017-07-14,2022-03-04 00:00:00,Inactive,2022-03-04 00:00:00,\N,\N,Staff,Contarct Basis,Hindu,Land Supervisor,1980,205.0,177.0,379836.0825,,,,
1104,5099,Allene Sipes,Mr.,Male,1,Single,31,2020-03-02,2020-12-26 00:00:00,Inactive,2020-12-26 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993,,,120029.4,,,,
1106,196053,Isabelle Daniel,Mr.,Male,1,Married,31,2020-03-02,2022-06-17 00:00:00,Inactive,2022-06-17 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1953,310.0,290.0,61420.82857142857,,,,
1109,50023,Martine Lesch,Mr.,Male,5,Married,132,2020-05-27,2022-02-21 00:00:00,Inactive,2022-02-21 00:00:00,1109,\N,Staff,Contarct Basis,Muslim,Senior Design Engineer,1973,66.0,273.0,556798.3333333334,,,,
1110,4963,Zakary Emmerich,Mr.,Male,1,Married,133,2020-06-03,2020-10-31 00:00:00,Inactive,2020-10-31 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Senior Purchasing Officer,1985,,,,,,,
1120,5113,Antone Kautzer,Mr.,Male,1,Single,38,2020-04-02,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Office Assistant,1994,410.0,482.0,73466.5,,,,
1121,5115,Margaretta Braun,Mr.,Male,1,Married,31,2020-04-22,2021-02-18 00:00:00,Inactive,2021-02-18 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1986,85.0,102.0,43583.85,,,,
1126,70045,Mallory Runolfsson,Mr.,Male,1,Married,122,2019-09-01,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Security,1973,672.0,674.0,71121.26571428572,,,,
1127,5127,Mrs Ivah Vandervort,Mr.,Male,1,Married,31,2020-12-01,2022-03-25 00:00:00,Inactive,2022-03-25 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,146.0,145.0,37010.654,,,,
1130,191003,Esteban Davis,Mr.,Male,4,Married,31,2020-05-12,2020-10-31 00:00:00,Inactive,2020-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,1968,,,83621.0,,,,
1131,4965,Mr Devyn Swift,Mr.,Male,1,Married,64,2020-06-12,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Safety Officer,1976,391.0,468.0,135564.44529411764,,,,
1132,191004,Garth Gutmann,Mr.,Male,4,Married,31,2020-05-12,2020-06-09 00:00:00,Inactive,2020-06-09 00:00:00,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,1979,,,,,,,
1134,191006,Prof Doyle Ankunding,Mr.,Male,4,Single,1,2020-05-18,2020-10-31 00:00:00,Inactive,2020-10-31 00:00:00,\N,\N,Labour,Contarct Basis,Catholic,Skilled Labor,1979,,,76486.26,,,,
1135,195012,Mr Anderson Harvey PhD,Mr.,Male,3,Married,1,2020-05-14,2020-06-23 00:00:00,Inactive,2020-06-23 00:00:00,\N,\N,Labour,Contarct Basis,Hindu,Skilled Labor,1994,,,,,,,
1137,5167,Miss Felicity Skiles,Mr.,Male,1,Married,31,2021-02-01,2021-03-31 00:00:00,Inactive,2021-03-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1978,3.0,6.0,36769.26666666667,,,,
1138,196049,Muriel Turcotte,Mr.,Male,1,Married,30,2019-11-23,2022-04-09 00:00:00,Inactive,2022-04-09 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1966,210.0,188.0,50344.12727272727,,,,
1139,75146,Emanuel Larkin,Mr.,Male,1,Married,31,2019-11-25,2020-12-18 00:00:00,Inactive,2020-12-18 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1983,,,43960.0,,,,
1141,5179,Josefa Goyette,Mr.,Male,1,Married,1,2021-02-01,2021-03-31 00:00:00,Inactive,2021-03-31 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1969,4.0,6.0,57959.6,,,,
1158,4966,Belle Roberts DDS,Mr.,Male,3,Married,33,2020-06-15,2022-07-14 00:00:00,Inactive,2022-07-14 00:00:00,1158,\N,Staff,Contarct Basis,Hindu,Site Engineer,1982,364.0,399.0,521500.555,,,,
1164,4967,Dr Gabriel Dicki,Mr.,Male,1,Single,8,2020-06-20,2020-12-10 00:00:00,Inactive,2020-12-10 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1992,,,,,,,
1171,4969,Alysson Rath,Mr.,Male,4,Single,27,2020-06-23,2020-09-17 00:00:00,Inactive,2020-09-17 00:00:00,\N,\N,Staff,Contarct Basis,Catholic,Supervisor,1995,,,,,,,
1172,4998,Dr Erwin Kuhn III,Mr.,Male,1,Married,24,2020-06-24,2020-08-07 00:00:00,Inactive,2020-08-07 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1995,,,,,,,
1173,5001,Judd Johnston,Mr.,Male,1,Single,108,2020-07-01,2020-11-19 00:00:00,Inactive,2020-11-19 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,QAQC Engineer,1991,,,,,,,
1176,50024,Prof Presley Koepp II,Mr.,Male,3,Married,6,2020-06-16,2020-11-03 00:00:00,Inactive,2020-11-03 00:00:00,\N,\N,Staff,Contarct Basis,Hindu,Project Manager,1953,,,,,,,
1178,5005,Aletha Becker,Mr.,Male,3,Married,8,2020-07-13,2022-01-29 00:00:00,Inactive,2022-01-29 00:00:00,\N,\N,Staff,Contarct Basis,Hindu,Quantity Surveyor,1989,117.0,191.0,116711.45666666668,,,,
1179,4970,Ezekiel Greenfelder,Mr.,Male,1,Married,64,2020-06-24,2021-01-26 00:00:00,Inactive,2021-01-26 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Safety Officer,1975,,,,,,,
1193,193020,Julius Fay,Mr.,Male,1,Married,62,2020-06-01,2020-06-30 00:00:00,Inactive,2020-06-30 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,S/Skill,1957,,,,,,,
1208,5000,Anna Morar,Mr.,Male,1,Married,24,2020-06-08,2021-10-15 00:00:00,Inactive,2021-10-15 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1980,100.0,90.0,64843.57666666667,,,,
1212,5004,Dr Nico Hessel Sr,Ms.,Female,1,Married,138,2020-07-10,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Receptionist,1994,322.0,362.0,75911.35722222221,22.0,16.0,22.0,16.0
1215,5006,Ms Lavonne Auer I,Ms.,Female,1,Married,17,2020-07-23,2020-11-02 00:00:00,Inactive,2020-11-02 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Account Executive,1989,,,,,,,
1217,5009,Neha O'Hara,Mr.,Male,4,Married,104,2020-08-06,2020-10-23 00:00:00,Inactive,2020-10-23 00:00:00,\N,\N,Management,Contarct Basis,Catholic,Accountant,1985,,,,,,,
1221,50026,Mrs Alayna Bechtelar,Mr.,Male,3,Single,140,2020-06-22,2020-11-28 00:00:00,Inactive,2020-11-28 00:00:00,\N,\N,Staff,Contarct Basis,Hindu,Surveyor Trainee,1994,,,,,,,
1222,5010,Heloise Gutkowski,Mr.,Male,1,Single,8,2020-08-10,2022-09-30 00:00:00,Inactive,2022-09-30 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1992,100.0,431.0,144528.8792857143,,,,
1223,5011,Maybell Parker,Mr.,Male,1,Single,93,2020-08-10,2021-03-15 00:00:00,Inactive,2021-03-15 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Transport Assistant,1998,15.0,15.0,,,,,
1280,200004,Bethel Graham,Mr.,Male,3,Married,30,2020-08-08,2020-09-28 00:00:00,Inactive,2020-09-28 00:00:00,\N,\N,Labour,Contarct Basis,Hindu,Semi Skilled Labor,1959,,,,,,,
1288,5019,Iliana Parisian,Mr.,Male,3,Married,36,2020-08-27,2020-10-31 00:00:00,Inactive,2020-10-31 00:00:00,\N,\N,Staff,Contarct Basis,Hindu,Engineer Assistant,1979,,,,,,,
1297,187009,Jarrod Keebler,Mr.,Male,4,Married,31,2020-08-19,2020-09-22 00:00:00,Inactive,2020-09-22 00:00:00,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,1993,,,,,,,
1298,187010,Althea O'Kon,Mr.,Male,4,Married,1,2020-08-11,2020-09-26 00:00:00,Inactive,2020-09-26 00:00:00,\N,\N,Labour,Contarct Basis,Catholic,Skilled Labor,1977,,,,,,,
1299,187011,Samantha Franecki,Mr.,Male,3,Married,31,2020-08-20,2020-09-21 00:00:00,Inactive,2020-09-21 00:00:00,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1992,,,,,,,
1300,5041,Arely Lang,Mr.,Male,4,Single,84,2020-09-09,2020-12-16 00:00:00,Inactive,2020-12-16 00:00:00,\N,\N,Staff,Contarct Basis,Catholic,HR Executive,1991,,,,,,,
1302,5044,Carley Ferry,Mr.,Male,1,Single,22,2020-09-11,2021-02-21 00:00:00,Inactive,2021-02-21 00:00:00,2709,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1992,,,,,,,
1304,5046,Queenie Wolf,Mr.,Male,1,Married,7,2020-09-15,2021-09-30 00:00:00,Inactive,2021-09-30 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1980,97.0,140.0,84574.72,,,,
1306,5108,Myles Kris,Ms.,Female,1,Single,177,2020-12-01,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Junior HR Executive,1999,310.0,404.0,58876.41105263159,16.0,7.0,11.0,12.0
1310,5048,Wilhelm Hill DDS,Mr.,Male,1,Single,33,2020-09-21,2021-02-12 00:00:00,Inactive,2021-02-12 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1993,,,,,,,
1323,5049,Prof Merritt Zieme,Mr.,Male,1,Married,24,2020-09-08,2020-11-30 00:00:00,Inactive,2020-11-30 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1975,,,,,,,
1324,5050,Prof Rachael Kuhlman MD,Mr.,Male,1,Single,70,2020-10-02,2020-10-03 00:00:00,Inactive,2020-10-03 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Data Entry Operator,1998,,,,,,,
1325,5051,Nathanial Terry,Mr.,Male,1,Married,8,2020-10-05,2021-08-07 00:00:00,Inactive,2021-08-07 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1982,57.0,63.0,172257.26,1.0,0.0,0.0,1.0
1326,5052,Prof Arden Franecki V,Mr.,Male,1,Married,144,2020-10-06,2020-12-31 00:00:00,Inactive,2020-12-31 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Tractor Driver cum Mechanic,1967,,,,,,,
1329,5012,Verlie Hodkiewicz,Mr.,Male,1,Married,24,2020-07-14,2020-09-26 00:00:00,Inactive,2020-09-26 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1984,,,,,,,
1330,5055,Carissa Gerlach,Mr.,Male,3,Single,146,2020-10-09,2021-08-31 00:00:00,Inactive,2021-08-31 00:00:00,\N,\N,Staff,Contarct Basis,Hindu,Assistant Site Engineer,2005,74.0,95.0,144336.29,,,,
1332,5082,Dr Elmore Huels MD,Mr.,Male,1,Married,7,2020-10-19,2020-10-24 00:00:00,Inactive,2020-10-24 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1988,6.0,4.0,,,,,
1334,5084,Yazmin Gleason,Mr.,Male,1,Single,33,2020-10-19,2021-07-21 00:00:00,Inactive,2021-07-21 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1994,81.0,100.0,212170.56,,,,
1335,5085,Mrs Lelah Lesch,Mr.,Male,1,Married,48,2020-10-19,2020-11-23 00:00:00,Inactive,2020-11-23 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1984,,,,,,,
1336,5086,Avis D'Amore,Mr.,Male,1,Single,27,2020-10-17,2020-10-31 00:00:00,Inactive,2020-10-31 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,1997,2.0,2.0,,,,,
1380,5089,Carli Crist,Ms.,Female,1,Single,147,2020-10-28,2021-01-29 00:00:00,Inactive,2021-01-29 00:00:00,1538,\N,Staff,Contarct Basis,Buddhist,Trainee Technical Officer,1993,,,,,,,
1381,5090,Lester Mann IV,Mr.,Male,1,Married,176,2020-11-09,2022-05-31 00:00:00,Inactive,2022-05-31 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Logistic & Operations Supervisor,1983,213.0,327.0,131006.70545454546,7.0,12.0,4.0,15.0
1382,5091,Rhea Walker,Mr.,Male,1,Single,8,2020-11-09,2020-12-10 00:00:00,Inactive,2020-12-10 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1990,,,,,,,
1383,5092,Mortimer Towne,Mr.,Male,1,Single,27,2020-11-09,2021-09-22 00:00:00,Inactive,2021-09-22 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,1998,145.0,198.0,81086.25,,,,
1384,5093,Vern Shanahan,Mr.,Male,1,Single,27,2020-11-09,2020-12-01 00:00:00,Inactive,2020-12-01 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,1997,,,,,,,
1385,5094,Luciano Barrows,Mr.,Male,1,Single,40,2020-11-11,2021-09-27 00:00:00,Inactive,2021-09-27 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Purchasing Officer,1996,21.0,78.0,74406.71999999999,0.0,1.0,1.0,0.0
1386,5103,Mr Lucio Sauer MD,Mr.,Male,5,Married,22,2020-11-18,2022-01-26 00:00:00,Inactive,2022-01-26 00:00:00,\N,\N,Staff,Contarct Basis,Muslim,Technical Officer,1985,226.0,247.0,124710.93666666666,,,,
1388,5102,Aletha Schaefer I,Mr.,Male,1,Married,80,2020-11-18,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Driver - cab,1968,447.0,450.0,97438.735,13.0,14.0,12.0,15.0
1389,5104,Roberta Baumbach,Mr.,Male,1,Married,43,2020-11-18,2020-11-30 00:00:00,Inactive,2020-11-30 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Operator - JCB,1991,,,,,,,
1390,198071,Tom Gutkowski,Mr.,Male,1,Married,1,2020-11-17,2021-09-05 00:00:00,Inactive,2021-09-05 00:00:00,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,1971,116.0,95.0,71965.9,,,,
1397,5107,Mateo Braun Sr,Mr.,Male,1,Single,22,2020-11-25,2021-01-22 00:00:00,Inactive,2021-01-22 00:00:00,1333,\N,Staff,Contarct Basis,Buddhist,Technical Officer,2000,,,,,,,
1398,5110,Kelsi Koss III,Mr.,Male,1,Single,48,2020-12-01,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1995,334.0,406.0,88943.1625,,,,
1399,5111,Lyda Bauch,Mr.,Male,1,Single,95,2020-12-03,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Welder,1998,399.0,400.0,118985.70722222222,16.0,7.0,15.0,8.0
1430,5109,Dr Dylan Powlowski,Mr.,Male,1,Single,24,2020-12-09,2021-08-31 00:00:00,Inactive,2021-08-31 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1999,75.0,72.0,36439.51,,,,
1432,5116,Trudie Davis PhD,Ms.,Female,1,Single,17,2020-12-14,2021-08-13 00:00:00,Inactive,2021-08-13 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Account Executive,1993,51.0,78.0,120976.615,0.0,1.0,0.0,1.0
1433,50031,Alessia Effertz,Ms.,Female,1,Married,149,2020-11-23,2021-06-30 00:00:00,Inactive,2021-06-30 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,HR Consultant-Payroll,1970,40.0,52.0,,,,,
1434,5117,Itzel Langosh,Mr.,Male,1,Single,27,2020-12-16,2021-12-24 00:00:00,Inactive,2021-12-24 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,1995,218.0,240.0,68048.312,,,,
1435,50032,Donny Hauck,Mr.,Male,1,Married,8,2020-12-11,2021-03-11 00:00:00,Inactive,2021-03-11 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1987,30.0,32.0,,,,,
